nombre empleado,cargo,sueldo bruto,dcto salud,dcto afp,sueldo liquido
Juan Perez, Consultor TI,682334,47763,81880,552690
Maria Garcia, Analista,1766655,123665,211998,1430990
Carlos Lopez, Programador,1032069,72244,123848,835975
Ana Martinez, Jefe de Proyecto,739054,51733,88686,598633
Pedro Rodriguez, Consultor TI,1760789,123255,211294,1426239
Laura Hernandez, Analista,880076,61605,105609,712861
Miguel Sanchez, Programador,1653096,115716,198371,1339007
Isabel Gomez, Jefe de Proyecto,1931555,135208,231786,1564559
Francisco Diaz, Consultor TI,1340157,93810,160818,1085527
Elena Fernandez, Analista,2016569,141159,241988,1633420
